"","Canal 8 Dernier (C)","Canal 8 Moy. (C)"
"2026-05-12T11:07:59+02:00","25,306","25,302"
"2026-05-12T11:08:29+02:00","25,301","25,301"
"2026-05-12T11:08:59+02:00","25,321","25,316"
"2026-05-12T11:09:29+02:00","25,344","25,328"
"2026-05-12T11:09:59+02:00","25,365","25,353"
"2026-05-12T11:10:29+02:00","25,379","25,375"
"2026-05-12T11:10:59+02:00","25,414","25,397"
"2026-05-12T11:11:29+02:00","25,423","25,410"
"2026-05-12T11:11:59+02:00","25,451","25,437"
"2026-05-12T11:12:29+02:00","25,488","25,465"
"2026-05-12T11:12:59+02:00","25,499","25,488"
"2026-05-12T11:13:29+02:00","25,506","25,499"
"2026-05-12T11:13:59+02:00","25,526","25,516"
"2026-05-12T11:14:29+02:00","25,544","25,529"
"2026-05-12T11:14:59+02:00","25,536","25,532"
"2026-05-12T11:15:29+02:00","25,561","25,546"
"2026-05-12T11:15:59+02:00","25,568","25,562"
"2026-05-12T11:16:29+02:00","25,562","25,564"
"2026-05-12T11:16:59+02:00","25,562","25,566"
"2026-05-12T11:17:29+02:00","25,586","25,579"
"2026-05-12T11:17:59+02:00","25,577","25,591"
"2026-05-12T11:18:29+02:00","25,603","25,612"
"2026-05-12T11:18:59+02:00","25,613","25,609"
"2026-05-12T11:19:29+02:00","25,622","25,629"
"2026-05-12T11:19:59+02:00","25,633","25,632"
"2026-05-12T11:20:29+02:00","25,644","25,642"
"2026-05-12T11:20:59+02:00","25,648","25,644"
"2026-05-12T11:21:29+02:00","25,665","25,655"
"2026-05-12T11:21:59+02:00","25,660","25,667"
"2026-05-12T11:22:29+02:00","25,661","25,666"
"2026-05-12T11:22:59+02:00","25,685","25,672"
"2026-05-12T11:23:29+02:00","25,673","25,676"
"2026-05-12T11:23:59+02:00","25,669","25,679"
"2026-05-12T11:24:29+02:00","25,684","25,680"
"2026-05-12T11:24:59+02:00","25,688","25,693"
"2026-05-12T11:25:29+02:00","25,705","25,697"
"2026-05-12T11:25:59+02:00","25,699","25,702"
"2026-05-12T11:26:29+02:00","25,710","25,705"
"2026-05-12T11:26:59+02:00","25,715","25,716"
"2026-05-12T11:27:29+02:00","25,726","25,728"
"2026-05-12T11:27:59+02:00","25,739","25,729"
"2026-05-12T11:28:29+02:00","25,728","25,728"
"2026-05-12T11:28:59+02:00","25,736","25,730"
"2026-05-12T11:29:29+02:00","25,743","25,741"
"2026-05-12T11:29:59+02:00","25,757","25,740"
"2026-05-12T11:30:29+02:00","25,751","25,748"
"2026-05-12T11:30:59+02:00","25,752","25,752"
"2026-05-12T11:31:29+02:00","25,785","25,778"
"2026-05-12T11:31:59+02:00","25,773","25,788"
"2026-05-12T11:32:29+02:00","25,795","25,789"
"2026-05-12T11:32:59+02:00","25,792","25,793"
"2026-05-12T11:33:29+02:00","25,798","25,800"
"2026-05-12T11:33:59+02:00","25,799","25,808"
"2026-05-12T11:34:29+02:00","25,829","25,818"
"2026-05-12T11:34:59+02:00","25,830","25,830"
"2026-05-12T11:35:29+02:00","25,845","25,839"
"2026-05-12T11:35:59+02:00","25,837","25,844"
"2026-05-12T11:36:29+02:00","25,867","25,865"
"2026-05-12T11:36:59+02:00","25,899","25,881"
"2026-05-12T11:37:29+02:00","25,893","25,891"
"2026-05-12T11:37:59+02:00","25,900","25,905"
"2026-05-12T11:38:29+02:00","25,907","25,909"
"2026-05-12T11:38:59+02:00","25,939","25,927"
"2026-05-12T11:39:29+02:00","25,934","25,938"
"2026-05-12T11:39:59+02:00","25,949","25,953"
"2026-05-12T11:40:29+02:00","25,961","25,956"
"2026-05-12T11:40:59+02:00","25,970","25,964"
"2026-05-12T11:41:29+02:00","25,966","25,960"
"2026-05-12T11:41:59+02:00","25,977","25,974"
"2026-05-12T11:42:29+02:00","25,963","25,975"
"2026-05-12T11:42:59+02:00","25,967","25,968"
"2026-05-12T11:43:29+02:00","25,977","25,968"
"2026-05-12T11:43:59+02:00","25,974","25,968"
"2026-05-12T11:44:29+02:00","25,972","25,968"
"2026-05-12T11:44:59+02:00","25,983","25,974"
"2026-05-12T11:45:29+02:00","25,991","25,980"
"2026-05-12T11:45:59+02:00","25,992","25,987"
"2026-05-12T11:46:29+02:00","25,986","25,982"
"2026-05-12T11:46:59+02:00","25,989","25,995"
"2026-05-12T11:47:29+02:00","25,985","25,985"
"2026-05-12T11:47:59+02:00","25,980","25,984"
"2026-05-12T11:48:29+02:00","25,964","25,977"
"2026-05-12T11:48:59+02:00","25,961","25,978"
"2026-05-12T11:49:29+02:00","25,971","25,971"
"2026-05-12T11:49:59+02:00","25,983","25,974"
"2026-05-12T11:50:29+02:00","25,977","25,973"
"2026-05-12T11:50:59+02:00","25,962","25,971"
"2026-05-12T11:51:29+02:00","25,951","25,960"
"2026-05-12T11:51:59+02:00","25,958","25,954"
"2026-05-12T11:52:29+02:00","25,948","25,949"
"2026-05-12T11:52:59+02:00","25,940","25,939"
"2026-05-12T11:53:29+02:00","25,941","25,943"
"2026-05-12T11:53:59+02:00","25,923","25,932"
"2026-05-12T11:54:29+02:00","25,909","25,920"
"2026-05-12T11:54:59+02:00","25,903","25,918"
"2026-05-12T11:55:29+02:00","25,919","25,906"
"2026-05-12T11:55:59+02:00","25,907","25,905"
"2026-05-12T11:56:29+02:00","25,889","25,895"
"2026-05-12T11:56:59+02:00","25,881","25,888"
"2026-05-12T11:57:29+02:00","25,880","25,882"
"2026-05-12T11:57:59+02:00","25,883","25,884"
"2026-05-12T11:58:29+02:00","25,880","25,883"
"2026-05-12T11:58:59+02:00","25,884","25,887"
"2026-05-12T11:59:29+02:00","25,876","25,876"
"2026-05-12T11:59:59+02:00","25,872","25,876"
"2026-05-12T12:00:29+02:00","25,881","25,870"
"2026-05-12T12:00:59+02:00","25,866","25,869"
"2026-05-12T12:01:29+02:00","25,876","25,872"
"2026-05-12T12:01:59+02:00","25,858","25,859"
"2026-05-12T12:02:29+02:00","25,861","25,862"
"2026-05-12T12:02:59+02:00","25,851","25,864"
"2026-05-12T12:03:29+02:00","25,860","25,862"
"2026-05-12T12:03:59+02:00","25,867","25,868"
"2026-05-12T12:04:29+02:00","25,852","25,863"
"2026-05-12T12:04:59+02:00","25,855","25,855"
"2026-05-12T12:05:29+02:00","25,853","25,860"
"2026-05-12T12:05:59+02:00","25,874","25,866"
"2026-05-12T12:06:29+02:00","25,878","25,877"
"2026-05-12T12:06:59+02:00","25,928","25,885"
"2026-05-12T12:07:29+02:00","25,980","25,949"
"2026-05-12T12:07:59+02:00","26,032","26,002"
"2026-05-12T12:08:29+02:00","26,042","26,031"
"2026-05-12T12:08:59+02:00","26,064","26,048"
"2026-05-12T12:09:29+02:00","26,073","26,075"
"2026-05-12T12:09:59+02:00","26,070","26,071"
"2026-05-12T12:10:29+02:00","26,069","26,072"
"2026-05-12T12:10:59+02:00","26,086","26,082"
"2026-05-12T12:11:29+02:00","26,087","26,088"
"2026-05-12T12:11:59+02:00","26,095","26,084"
"2026-05-12T12:12:29+02:00","26,110","26,096"
"2026-05-12T12:12:59+02:00","26,111","26,111"
"2026-05-12T12:13:29+02:00","26,124","26,122"
"2026-05-12T12:13:59+02:00","26,159","26,143"
"2026-05-12T12:14:29+02:00","26,176","26,162"
"2026-05-12T12:14:59+02:00","26,169","26,171"
"2026-05-12T12:15:29+02:00","26,186","26,179"
"2026-05-12T12:15:59+02:00","26,204","26,194"
"2026-05-12T12:16:29+02:00","26,199","26,188"
"2026-05-12T12:16:59+02:00","26,191","26,189"
"2026-05-12T12:17:29+02:00","26,207","26,200"
"2026-05-12T12:17:59+02:00","26,202","26,199"
"2026-05-12T12:18:29+02:00","26,207","26,209"
"2026-05-12T12:18:59+02:00","26,201","26,205"
"2026-05-12T12:19:29+02:00","26,181","26,198"
"2026-05-12T12:19:59+02:00","26,197","26,190"
"2026-05-12T12:20:29+02:00","26,192","26,202"
"2026-05-12T12:20:59+02:00","26,185","26,196"
"2026-05-12T12:21:29+02:00","26,209","26,192"
"2026-05-12T12:21:59+02:00","26,223","26,212"
"2026-05-12T12:22:29+02:00","26,200","26,212"
"2026-05-12T12:22:59+02:00","26,197","26,206"
"2026-05-12T12:23:29+02:00","26,207","26,206"
"2026-05-12T12:23:59+02:00","26,221","26,200"
"2026-05-12T12:24:29+02:00","26,167","26,187"
"2026-05-12T12:24:59+02:00","26,183","26,184"
"2026-05-12T12:25:29+02:00","26,178","26,190"
"2026-05-12T12:25:59+02:00","26,175","26,176"
"2026-05-12T12:26:29+02:00","26,190","26,179"
"2026-05-12T12:26:59+02:00","26,163","26,178"
"2026-05-12T12:27:29+02:00","26,179","26,180"
"2026-05-12T12:27:59+02:00","26,197","26,191"
"2026-05-12T12:28:29+02:00","26,193","26,201"
"2026-05-12T12:28:59+02:00","26,196","26,209"
"2026-05-12T12:29:29+02:00","26,199","26,199"
"2026-05-12T12:29:59+02:00","26,205","26,205"
"2026-05-12T12:30:29+02:00","26,204","26,199"
"2026-05-12T12:30:59+02:00","26,170","26,180"
"2026-05-12T12:31:29+02:00","26,172","26,179"
"2026-05-12T12:31:59+02:00","26,166","26,181"
"2026-05-12T12:32:29+02:00","26,177","26,171"
"2026-05-12T12:32:59+02:00","26,213","26,197"
"2026-05-12T12:33:29+02:00","26,191","26,200"
"2026-05-12T12:33:59+02:00","26,206","26,202"
"2026-05-12T12:34:29+02:00","26,208","26,211"
"2026-05-12T12:34:59+02:00","26,204","26,211"
