"","Canal 8 Dernier (C)","Canal 8 Moy. (C)"
"2026-05-13T10:30:55+02:00","25,523","25,518"
"2026-05-13T10:31:25+02:00","25,528","25,527"
"2026-05-13T10:31:55+02:00","25,535","25,533"
"2026-05-13T10:32:25+02:00","25,533","25,535"
"2026-05-13T10:32:55+02:00","25,547","25,548"
"2026-05-13T10:33:25+02:00","25,570","25,563"
"2026-05-13T10:33:55+02:00","25,594","25,576"
"2026-05-13T10:34:25+02:00","25,592","25,588"
"2026-05-13T10:34:55+02:00","25,612","25,598"
"2026-05-13T10:35:25+02:00","25,626","25,610"
"2026-05-13T10:35:55+02:00","25,627","25,620"
"2026-05-13T10:36:25+02:00","25,627","25,633"
"2026-05-13T10:36:55+02:00","25,647","25,642"
"2026-05-13T10:37:25+02:00","25,660","25,652"
"2026-05-13T10:37:55+02:00","25,660","25,663"
"2026-05-13T10:38:25+02:00","25,664","25,665"
"2026-05-13T10:38:55+02:00","25,664","25,671"
"2026-05-13T10:39:25+02:00","25,681","25,676"
"2026-05-13T10:39:55+02:00","25,682","25,679"
"2026-05-13T10:40:25+02:00","25,685","25,686"
"2026-05-13T10:40:55+02:00","25,695","25,695"
"2026-05-13T10:41:25+02:00","25,690","25,687"
"2026-05-13T10:41:55+02:00","25,695","25,687"
"2026-05-13T10:42:25+02:00","25,670","25,685"
"2026-05-13T10:42:55+02:00","25,704","25,691"
"2026-05-13T10:43:25+02:00","25,706","25,698"
"2026-05-13T10:43:55+02:00","25,719","25,710"
"2026-05-13T10:44:25+02:00","25,706","25,722"
"2026-05-13T10:44:55+02:00","25,720","25,726"
"2026-05-13T10:45:25+02:00","25,717","25,719"
"2026-05-13T10:45:55+02:00","25,722","25,724"
"2026-05-13T10:46:25+02:00","25,724","25,725"
"2026-05-13T10:46:55+02:00","25,723","25,723"
"2026-05-13T10:47:25+02:00","25,716","25,710"
"2026-05-13T10:47:55+02:00","25,726","25,721"
"2026-05-13T10:48:25+02:00","25,716","25,713"
"2026-05-13T10:48:55+02:00","25,708","25,714"
"2026-05-13T10:49:25+02:00","25,738","25,718"
"2026-05-13T10:49:55+02:00","25,726","25,727"
"2026-05-13T10:50:25+02:00","25,714","25,725"
"2026-05-13T10:50:55+02:00","25,717","25,718"
"2026-05-13T10:51:25+02:00","25,731","25,723"
"2026-05-13T10:51:55+02:00","25,725","25,730"
"2026-05-13T10:52:25+02:00","25,725","25,725"
"2026-05-13T10:52:55+02:00","25,733","25,729"
"2026-05-13T10:53:25+02:00","25,731","25,728"
"2026-05-13T10:53:55+02:00","25,720","25,717"
"2026-05-13T10:54:25+02:00","25,746","25,735"
"2026-05-13T10:54:55+02:00","25,732","25,740"
"2026-05-13T10:55:25+02:00","25,720","25,737"
"2026-05-13T10:55:55+02:00","25,738","25,736"
"2026-05-13T10:56:25+02:00","25,748","25,747"
"2026-05-13T10:56:55+02:00","25,754","25,746"
"2026-05-13T10:57:25+02:00","25,769","25,753"
"2026-05-13T10:57:55+02:00","25,767","25,773"
"2026-05-13T10:58:25+02:00","25,767","25,769"
"2026-05-13T10:58:55+02:00","25,769","25,767"
"2026-05-13T10:59:25+02:00","25,775","25,771"
"2026-05-13T10:59:55+02:00","25,804","25,788"
"2026-05-13T11:00:25+02:00","25,811","25,802"
"2026-05-13T11:00:55+02:00","25,819","25,809"
"2026-05-13T11:01:25+02:00","25,842","25,817"
"2026-05-13T11:01:55+02:00","25,827","25,826"
"2026-05-13T11:02:25+02:00","25,839","25,835"
"2026-05-13T11:02:55+02:00","25,849","25,848"
"2026-05-13T11:03:25+02:00","25,852","25,848"
"2026-05-13T11:03:55+02:00","25,857","25,853"
"2026-05-13T11:04:25+02:00","25,868","25,867"
"2026-05-13T11:04:55+02:00","25,879","25,880"
"2026-05-13T11:05:25+02:00","25,877","25,880"
"2026-05-13T11:05:55+02:00","25,890","25,886"
"2026-05-13T11:06:25+02:00","25,889","25,891"
"2026-05-13T11:06:55+02:00","25,893","25,899"
"2026-05-13T11:07:25+02:00","25,901","25,899"
"2026-05-13T11:07:55+02:00","25,909","25,910"
"2026-05-13T11:08:25+02:00","25,924","25,919"
"2026-05-13T11:08:55+02:00","25,917","25,922"
"2026-05-13T11:09:25+02:00","25,938","25,929"
"2026-05-13T11:09:55+02:00","25,934","25,934"
"2026-05-13T11:10:25+02:00","25,927","25,925"
"2026-05-13T11:10:55+02:00","25,942","25,940"
"2026-05-13T11:11:25+02:00","25,953","25,947"
"2026-05-13T11:11:55+02:00","25,950","25,944"
"2026-05-13T11:12:25+02:00","25,946","25,952"
"2026-05-13T11:12:55+02:00","25,951","25,953"
"2026-05-13T11:13:25+02:00","25,953","25,950"
"2026-05-13T11:13:55+02:00","25,954","25,949"
"2026-05-13T11:14:25+02:00","25,946","25,945"
"2026-05-13T11:14:55+02:00","25,950","25,947"
"2026-05-13T11:15:25+02:00","25,958","25,953"
"2026-05-13T11:15:55+02:00","25,954","25,951"
"2026-05-13T11:16:25+02:00","25,933","25,945"
"2026-05-13T11:16:55+02:00","25,931","25,935"
"2026-05-13T11:17:25+02:00","25,933","25,932"
"2026-05-13T11:17:55+02:00","25,924","25,931"
"2026-05-13T11:18:25+02:00","25,919","25,932"
"2026-05-13T11:18:55+02:00","25,936","25,936"
"2026-05-13T11:19:25+02:00","25,917","25,918"
"2026-05-13T11:19:55+02:00","25,913","25,918"
"2026-05-13T11:20:25+02:00","25,917","25,909"
"2026-05-13T11:20:55+02:00","25,909","25,912"
"2026-05-13T11:21:25+02:00","25,902","25,906"
"2026-05-13T11:21:55+02:00","25,917","25,916"
"2026-05-13T11:22:25+02:00","25,895","25,906"
"2026-05-13T11:22:55+02:00","25,899","25,895"
"2026-05-13T11:23:25+02:00","25,899","25,897"
"2026-05-13T11:23:55+02:00","25,897","25,889"
"2026-05-13T11:24:25+02:00","25,892","25,895"
"2026-05-13T11:24:55+02:00","25,890","25,887"
"2026-05-13T11:25:25+02:00","25,883","25,884"
"2026-05-13T11:25:55+02:00","25,891","25,888"
"2026-05-13T11:26:25+02:00","25,887","25,887"
"2026-05-13T11:26:55+02:00","25,893","25,887"
"2026-05-13T11:27:25+02:00","25,880","25,882"
"2026-05-13T11:27:55+02:00","25,873","25,874"
"2026-05-13T11:28:25+02:00","25,877","25,876"
"2026-05-13T11:28:55+02:00","25,859","25,871"
"2026-05-13T11:29:25+02:00","25,878","25,866"
"2026-05-13T11:29:55+02:00","25,870","25,879"
"2026-05-13T11:30:25+02:00","25,887","25,879"
"2026-05-13T11:30:55+02:00","25,894","25,883"
"2026-05-13T11:31:25+02:00","25,889","25,890"
"2026-05-13T11:31:55+02:00","25,869","25,883"
"2026-05-13T11:32:25+02:00","25,864","25,873"
"2026-05-13T11:32:55+02:00","25,869","25,869"
"2026-05-13T11:33:25+02:00","25,861","25,871"
"2026-05-13T11:33:55+02:00","25,848","25,859"
"2026-05-13T11:34:25+02:00","25,859","25,853"
"2026-05-13T11:34:55+02:00","25,966","25,919"
"2026-05-13T11:35:25+02:00","26,036","26,004"
"2026-05-13T11:35:55+02:00","26,069","26,041"
"2026-05-13T11:36:25+02:00","26,064","26,067"
"2026-05-13T11:36:55+02:00","26,063","26,069"
"2026-05-13T11:37:25+02:00","26,072","26,056"
"2026-05-13T11:37:55+02:00","26,059","26,063"
"2026-05-13T11:38:25+02:00","26,074","26,066"
"2026-05-13T11:38:55+02:00","26,083","26,076"
"2026-05-13T11:39:25+02:00","26,122","26,105"
"2026-05-13T11:39:55+02:00","26,144","26,131"
"2026-05-13T11:40:25+02:00","26,142","26,140"
"2026-05-13T11:40:55+02:00","26,154","26,149"
"2026-05-13T11:41:25+02:00","26,173","26,159"
